idcliente,municipio
C1220,CHAPELTIQUE
C1221,CHAPELTIQUE
C1222,CHAPELTIQUE
C1223,CHAPELTIQUE
C1224,CHAPELTIQUE
C1225,CHAPELTIQUE
C1226,CHAPELTIQUE
C1227,CHAPELTIQUE
C1228,CHAPELTIQUE
C1229,CHAPELTIQUE
P13,CHAPELTIQUE
C1230,CHAPELTIQUE
C1231,CHAPELTIQUE
C1232,CHAPELTIQUE
C1233,CHAPELTIQUE
C1234,CHAPELTIQUE
C1235,CHAPELTIQUE
C1236,CHAPELTIQUE
C1237,CHAPELTIQUE
C1238,CHAPELTIQUE
C1239,GUATAJIAGUA
P14,SAN SALVADOR
C1240,CHAPELTIQUE
C1241,CHAPELTIQUE
C1242,CHAPELTIQUE
C1243,CHAPELTIQUE
C1244,CHAPELTIQUE
C1245,CHAPELTIQUE
C1246,CHAPELTIQUE
C1247,GUATAJIAGUA
P15,CHAPELTIQUE
C1248,CHAPELTIQUE
C1249,CHAPELTIQUE
C1250,CHAPELTIQUE
C1251,CHAPELTIQUE
C1252,CHAPELTIQUE
C1253,CHAPELTIQUE
C1254,CHAPELTIQUE
C1255,GUATAJIAGUA
C1256,CHAPELTIQUE
C1257,CHAPELTIQUE
C1258,CHAPELTIQUE
C1259,CHAPELTIQUE
C1260,CHAPELTIQUE
C1261,CHAPELTIQUE
C1262,CHAPELTIQUE
C1263,CHAPELTIQUE
C1264,CHAPELTIQUE
C1265,CHAPELTIQUE
P16,CHAPELTIQUE
C1266,CHAPELTIQUE
C1267,503013013
C1268,SESORI
C1269,CHAPELTIQUE
C1270,CHAPELTIQUE
C1271,CHAPELTIQUE
C1272,CHAPELTIQUE
C1273,CHAPELTIQUE
C1274,CHAPELTIQUE
C1275,CHAPELTIQUE
C1276,CAROLINA
C1277,CHAPELTIQUE
C1278,CHAPELTIQUE
C1279,CHAPELTIQUE
C1280,CHAPELTIQUE
C1281,CHAPELTIQUE
C1282,CHAPELTIQUE
P17,CHAPELTIQUE
C1283,SESORI
C1284,CHAPELTIQUE
C1285,CHAPELTIQUE
C1286,CHAPELTIQUE
C1287,CHAPELTIQUE
C1288,CHAPELTIQUE
C1289,CHAPELTIQUE
C1290,CHAPELTIQUE
C1291,CHAPELTIQUE
C1292,GUATAJIAGUA
C1293,CIUDAD BARRIOS
C1294,CHAPELTIQUE
C1295,CHAPELTIQUE
C1296,CHAPELTIQUE
C1297,CHAPELTIQUE
C1298,SESORI
C1299,CIUDAD BARRIOS
C1300,CHAPELTIQUE
C1301,GUATAJIAGUA
C1302,CHAPELTIQUE
C1303,CHAPELTIQUE
C1304,GUATAJIAGUA
C1305,CHAPELTIQUE
C1306,CHAPELTIQUE
C1307,GUATAJIAGUA
C1308,CHAPELTIQUE
C1309,CHAPELTIQUE
C1310,CHAPELTIQUE
C1311,CHAPELTIQUE
C1312,CHAPELTIQUE
C1313,CHAPELTIQUE
C1314,CHAPELTIQUE
C1315,CHAPELTIQUE
C1316,CHAPELTIQUE
C1317,CHAPELTIQUE
C1318,CHAPELTIQUE
C1319,CHAPELTIQUE
C1320,CHAPELTIQUE
C1321,CHAPELTIQUE
C1322,CHAPELTIQUE
C1323,CHAPELTIQUE
C1324,CHAPELTIQUE
C1325,CHAPELTIQUE
C1326,CHAPELTIQUE
